Error No. (DEC),Error No. (HEX),Description
0,0x00000000,The operation completed successfully.
1,0x00000001,Incorrect function.
2,0x00000002,The system cannot find the file specified.
3,0x00000003,The system cannot find the path specified.
4,0x00000004,The system cannot open the file.
5,0x00000005,Access is denied.
6,0x00000006,The handle is invalid.
7,0x00000007,The storage control blocks were destroyed.
8,0x00000008,Not enough storage is available to process this command.
9,0x00000009,The storage control block address is invalid.
10,0x0000000A,The environment is incorrect.
11,0x0000000B,An attempt was made to load a program with an incorrect format.
12,0x0000000C,The access code is invalid.
13,0x0000000D,The data is invalid.
14,0x0000000E,Not enough storage is available to complete this operation.
15,0x0000000F,The system cannot find the drive specified.
16,0x00000010,The directory cannot be removed.
17,0x00000011,The system cannot move the file to a different disk drive.
18,0x00000012,There are no more files.
19,0x00000013,The media is write protected.
20,0x00000014,The system cannot find the device specified.
21,0x00000015,The device is not ready.
22,0x00000016,The device does not recognize the command.
23,0x00000017,Data error (cyclic redundancy check).
24,0x00000018,The program issued a command but the command length is incorrect.
25,0x00000019,The drive cannot locate a specific area or track on the disk.
26,0x0000001A,The specified disk or diskette cannot be accessed.
27,0x0000001B,The drive cannot find the sector requested.
28,0x0000001C,The printer is out of paper.
29,0x0000001D,The system cannot write to the specified device.
30,0x0000001E,The system cannot read from the specified device.
31,0x0000001F,A device attached to the system is not functioning.
32,0x00000020,The process cannot access the file because it is being used by another process.
33,0x00000021,The process cannot access the file because another process has locked a portion of the file.
34,0x00000022,"The wrong diskette is in the drive.
Insert %2 (Volume Serial Number: %3) into drive %1."
36,0x00000024,Too many files opened for sharing.
38,0x00000026,Reached the end of the file.
39,0x00000027,The disk is full.
50,0x00000032,The request is not supported.
51,0x00000033,"Windows cannot find the network path. Verify that the network path is correct and the destination computer is not busy or turned off. If Windows still cannot find the network path, contact your network administrator."
52,0x00000034,You were not connected because a duplicate name exists on the network. Go to System in Control Panel to change the computer name and try again.
53,0x00000035,The network path was not found.
54,0x00000036,The network is busy.
55,0x00000037,The specified network resource or device is no longer available.
56,0x00000038,The network BIOS command limit has been reached.
57,0x00000039,A network adapter hardware error occurred.
58,0x0000003A,The specified server cannot perform the requested operation.
59,0x0000003B,An unexpected network error occurred.
60,0x0000003C,The remote adapter is not compatible.
61,0x0000003D,The printer queue is full.
62,0x0000003E,Space to store the file waiting to be printed is not available on the server.
63,0x0000003F,Your file waiting to be printed was deleted.
64,0x00000040,The specified network name is no longer available.
65,0x00000041,Network access is denied.
66,0x00000042,The network resource type is not correct.
67,0x00000043,The network name cannot be found.
68,0x00000044,The name limit for the local computer network adapter card was exceeded.
69,0x00000045,The network BIOS session limit was exceeded.
70,0x00000046,The remote server has been paused or is in the process of being started.
71,0x00000047,No more connections can be made to this remote computer at this time because there are already as many connections as the computer can accept.
72,0x00000048,The specified printer or disk device has been paused.
80,0x00000050,The file exists.
82,0x00000052,The directory or file cannot be created.
83,0x00000053,Fail on INT 24.
84,0x00000054,Storage to process this request is not available.
85,0x00000055,The local device name is already in use.
86,0x00000056,The specified network password is not correct.
87,0x00000057,The parameter is incorrect.
88,0x00000058,A write fault occurred on the network.
89,0x00000059,The system cannot start another process at this time.
100,0x00000064,Cannot create another system semaphore.
101,0x00000065,The exclusive semaphore is owned by another process.
102,0x00000066,The semaphore is set and cannot be closed.
103,0x00000067,The semaphore cannot be set again.
104,0x00000068,Cannot request exclusive semaphores at interrupt time.
105,0x00000069,The previous ownership of this semaphore has ended.
106,0x0000006A,Insert the diskette for drive %1.
107,0x0000006B,The program stopped because an alternate diskette was not inserted.
108,0x0000006C,The disk is in use or locked by another process.
109,0x0000006D,The pipe has been ended.
110,0x0000006E,The system cannot open the device or file specified.
111,0x0000006F,The file name is too long.
112,0x00000070,There is not enough space on the disk.
113,0x00000071,No more internal file identifiers available.
114,0x00000072,The target internal file identifier is incorrect.
117,0x00000075,The IOCTL call made by the application program is not correct.
118,0x00000076,The verify-on-write switch parameter value is not correct.
119,0x00000077,The system does not support the command requested.
120,0x00000078,This function is not supported on this system.
121,0x00000079,The semaphore timeout period has expired.
122,0x0000007A,The data area passed to a system call is too small.
123,0x0000007B,"The filename, directory name, or volume label syntax is incorrect."
124,0x0000007C,The system call level is not correct.
125,0x0000007D,The disk has no volume label.
126,0x0000007E,The specified module could not be found.
127,0x0000007F,The specified procedure could not be found.
128,0x00000080,There are no child processes to wait for.
